,Rank,Total Assets,Bank Name
1,1,"$3,207,521,000,000",JPMorgan Chase Bank
2,2,"$2,316,773,000,000",Bank of America
3,3,"$1,773,157,000,000",Wells Fargo Bank
4,4,"$1,684,634,000,000",Citibank
5,5,"$542,566,283,000",U.S. Bank
6,6,"$506,471,000,000",Truist Bank
7,7,"$469,299,477,000",PNC Bank
8,8,"$411,622,119,000",TD Bank
9,9,"$383,939,000,000",The Bank of New York Mellon
10,10,"$369,908,480,000",Capital One
11,11,"$351,075,000,000","Charles Schwab Bank, SSB"
12,12,"$313,281,000,000",State Street Bank and Trust Company
13,13,"$288,623,000,000",Goldman Sachs Bank USA
14,14,"$205,489,635,000",Fifth Third Bank
15,15,"$194,911,590,000",HSBC Bank USA
16,16,"$187,182,386,000",Citizens Bank
17,17,"$179,805,000,000",Morgan Stanley Bank
18,18,"$174,008,043,000",KeyBank
19,19,"$171,537,000,000",Ally Bank
20,20,"$163,541,275,000",The Northern Trust Company
21,21,"$159,208,335,000",BMO Harris Bank
22,22,"$155,797,960,000",First Republic Bank
23,23,"$152,519,000,000",Regions Bank
24,24,"$150,095,653,000",Manufacturers and Traders Trust Company
25,25,"$140,260,913,000",Silicon Valley Bank
26,26,"$137,270,115,000",American Express National Bank
27,27,"$134,785,072,000",MUFG Union Bank
28,28,"$126,864,000,000",Morgan Stanley Private Bank
29,29,"$125,419,222,000",The Huntington National Bank
30,30,"$121,715,724,000",USAA Federal Savings Bank
31,31,"$112,295,827,000",Discover Bank
32,32,"$105,969,092,000",Capital One Bank (USA)
33,33,"$101,925,551,000",BBVA USA
34,34,"$98,394,237,000",Bank of the West
35,35,"$91,110,922,000",UBS Bank USA
36,36,"$88,908,770,000","Santander Bank, N.A."
37,37,"$87,114,450,000",First Horizon Bank
38,38,"$86,257,000,000",Comerica Bank
39,39,"$85,431,000,000",Synchrony Bank
40,40,"$85,382,194,000",Signature Bank
41,41,"$85,120,866,000","Zions Bancorporation, N.A."
42,42,"$81,469,654,000",City National Bank
43,43,"$79,773,649,000",E*TRADE Bank
44,44,"$63,941,933,000",People's United Bank
45,45,"$57,633,106,000",New York Community Bank
46,46,"$56,858,871,000",East West Bank
47,47,"$55,853,000,000",Banco Popular de Puerto Rico
48,48,"$55,099,459,000",Synovus Bank
49,49,"$53,820,458,000",First-Citizens Bank & Trust Company
50,50,"$50,658,201,000",CIT Bank
51,51,"$50,047,905,000",Bank of China
52,52,"$49,421,342,000",TCF National Bank
53,53,"$47,238,911,000",BOKF
54,54,"$44,092,014,000",Frost Bank
55,55,"$43,885,222,000",CIBC Bank USA
56,56,"$43,451,450,000",Western Alliance Bank
57,57,"$41,157,805,000",Valley National Bank
